Graph,Method,Time (ms),Err (ms),Avg degree,Edges
citationCiteseer,LAGraph,15.2,0.2,8.61578,1156647
citationCiteseer,Spla,56.0,8.0,8.61578,1156647
vsp_msc10848_300sep_100in_1Kout,LAGraph,1.13,0.03,111.023,1221028
vsp_msc10848_300sep_100in_1Kout,Spla,17.7,0.5,111.023,1221028
belgium_osm,LAGraph,117.0,15.0,2.1508,1549970
belgium_osm,Spla,2767.0,400.0,2.1508,1549970
m14b,LAGraph,31.4,0.6,15.6359,1679018
m14b,Spla,133.0,19.0,15.6359,1679018
delaunay_n21,LAGraph,258.0,20.0,5.99995,6291408
delaunay_n21,Spla,1739.0,130.0,5.99995,6291408
kron_g500-logn17,LAGraph,4.2,0.2,78.0332,5114375
kron_g500-logn17,Spla,54.0,3.0,78.0332,5114375
adaptive,LAGraph,545.0,40.0,3.9979,13624320
adaptive,Spla,16347.0,3000.0,3.9979,13624320
coPapersCiteseer,LAGraph,29.2,1.3,73.8846,16036720
coPapersCiteseer,Spla,67.0,8.0,73.8846,16036720
com-Orkut,LAGraph,660.0,700.0,76.2814,117185083
com-Orkut,Spla,111.0,5.0,76.2814,117185083
