Graph,Method,Time (ms),Err (ms),Avg degree,Edges
delaunay_n13,LAGraph,4.3,0.9,5.99292,24547
delaunay_n13,Spla,0.63,0.05,5.99292,24547
usroads,LAGraph,7.01,0.18,2.56163,165435
usroads,Spla,1.9,0.05,2.56163,165435
fe_rotor,LAGraph,184.0,16.0,13.2996,662431
fe_rotor,Spla,3.5,0.7,13.2996,662431
roadNet-CA,LAGraph,125.9,1.6,2.80691,2766607
roadNet-CA,Spla,10.5,1.1,2.80691,2766607
italy_osm,LAGraph,269.0,12.0,2.09795,7013978
italy_osm,Spla,31.5,1.6,2.09795,7013978
as-Skitter,LAGraph,12421.0,300.0,13.0809,11095298
as-Skitter,Spla,156.0,11.0,13.0809,11095298
road_usa,LAGraph,1294.0,19.0,2.40981,28854312
road_usa,Spla,122.0,8.0,2.40981,28854312
